EXP True plastic strain,"EXP True stress, Mpa",1 True plastic strain,"1 True stress, Mpa","2 True plastic strain,-","2 True stress, Mpa","3 True plastic strain,-","3 True stress, Mpa","4 True plastic strain,-","4 True stress, Mpa","5 True plastic strain,-","5 True stress, Mpa","6 True plastic strain,-","6 True stress, Mpa","7 True plastic strain,-","7 True stress, Mpa"
0,91.38246918,0.0102,914.2635397,0.0102,920.4046088,0.0102,919.7905019,0.0102,918.5622881,0.0102,917.3340742,0.0102,916.1058604,0.0102,914.8776466
0,92.54293823,0.0104,916.1016151,0.0104,921.7509474,0.0104,921.1860142,0.0104,920.0561477,0.0104,918.9262812,0.0104,917.7964148,0.0104,916.6665483
1.68E-05,92.70350647,0.0106,917.9127075,0.0106,923.0735534,0.0106,922.5574688,0.0106,921.5252996,0.0106,920.4931305,0.0106,919.4609613,0.0106,918.4287921
0,93.06127167,0.0108,919.6972132,0.0108,924.3732811,0.0108,923.9056743,0.0108,922.9704608,0.0108,922.0352472,0.0108,921.1000336,0.0108,920.16482
2.84E-06,94.2649765,0.011,921.4555223,0.011,925.6509393,0.011,925.2313976,0.011,924.3923142,0.011,923.5532308,0.011,922.7141474,0.011,921.875064
2.06E-05,94.78736877,0.0112,923.1880195,0.0112,926.9072939,0.0112,926.5353665,0.0112,925.7915116,0.0112,925.0476567,0.0112,924.3038018,0.0112,923.559947
0,95.02933502,0.0114,924.8950837,0.0114,928.1430711,0.0114,927.8182724,0.0114,927.1686749,0.0114,926.5190774,0.0114,925.8694799,0.0114,925.2198824
0,95.11572266,0.0116,926.5770881,0.0116,929.3589603,0.0116,929.0807731,0.0116,928.5243987,0.0116,927.9680242,0.0116,927.4116498,0.0116,926.8552753
0,96.26870728,0.0118,928.2344007,0.0118,930.5556163,0.0118,930.3234947,0.0118,929.8592516,0.0118,929.3950085,0.0118,928.9307654,0.0118,928.4665223
0,96.85953522,0.012,929.867384,0.012,931.7336616,0.012,931.5470339,0.012,931.1737783,0.012,930.8005228,0.012,930.4272673,0.012,930.0540118
0,96.94436646,0.0122,931.4763952,0.0122,932.8936888,0.0122,932.7519594,0.0122,932.4685007,0.0122,932.185042,0.0122,931.9015833,0.0122,931.6181245
0,97.31140137,0.0124,933.061786,0.0124,934.0362621,0.0124,933.9388145,0.0124,933.7439193,0.0124,933.5490241,0.0124,933.3541289,0.0124,933.1592336
0,98.17786407,0.0126,934.6239034,0.0126,935.1619195,0.0126,935.1081179,0.0126,935.0005146,0.0126,934.8929114,0.0126,934.7853082,0.0126,934.677705
0,98.28884125,0.0128,936.1630888,0.0128,936.2711739,0.0128,936.2603654,0.0128,936.2387484,0.0128,936.2171314,0.0128,936.1955143,0.0128,936.1738973
2.38E-06,99.40326691,0.013,937.6796791,0.013,937.3645152,0.013,937.3960315,0.013,937.4590643,0.013,937.5220971,0.013,937.5851299,0.013,937.6481627
8.19E-06,100.6042862,0.0132,939.1740058,0.0132,938.4424112,0.0132,938.5155707,0.0132,938.6618896,0.0132,938.8082085,0.0132,938.9545274,0.0132,939.1008463
2.87E-05,100.7165451,0.0134,940.6463958,0.0134,939.5053094,0.0134,939.619418,0.0134,939.8476353,0.0134,940.0758526,0.0134,940.3040699,0.0134,940.5322872
5.27E-06,101.1112595,0.0136,942.0971711,0.0136,940.5536375,0.0136,940.7079909,0.0136,941.0166976,0.0136,941.3254043,0.0136,941.6341111,0.0136,941.9428178
0,101.167244,0.0138,943.5266491,0.0138,941.5878053,0.0138,941.7816897,0.0138,942.1694585,0.0138,942.5572272,0.0138,942.944996,0.0138,943.3327647
